studno,studentname,birthday,degree,major,unitsearned
2013-01364,Augustus Stanion,1996-10-28,Bachelor of Science in Agribusiness Management,at nibh,162
1991-27044,Gregor Durrett,1998-11-18,Bachelor of Science in Civil Engineering,et ultrices posuere,27
2008-98393,Christye Parkyn,1994-01-02,Bachelor of Science in Botany,eget congue eget,81
2003-28347,Kettie Conklin,1992-11-26,Bachelor of Science in Statistics,nunc,87
2018-70906,Daile Beneze,1999-01-08,Bachelor of Arts in Sociology,nec sem,108
2000-88331,Dicky Callum,1994-12-28,Bachelor of Science in Development Communication,non mi,122
2013-52919,Agatha Kleis,1997-05-19,Bachelor of Arts in Communication Arts,quis augue luctus,122
2007-89357,Noella Heliet,1992-05-01,Bachelor of Science in Computer Science,nulla sed,128
2015-59996,Caty Klimschak,1997-04-23,Bachelor of Science in Forest Products Engineering,vestibulum ac,107
2010-71183,Cristina Bernardinelli,1993-09-06,Bachelor of Science in Agricultural Biotechnology,volutpat,122
2003-11094,Oliviero Kann,1993-01-06,Bachelor of Science in Statistics,lacus,170
2007-27666,Michaeline Clemente,1990-01-14,Bachelor of Science in Agricultural Education,leo maecenas pulvinar,34
2019-87393,Mady Jack,1991-08-20,Bachelor of Science in Agricultural Extension,cubilia,96
2001-38641,Onofredo Lind,1990-05-14,Bachelor of Science in Botany,nunc purus phasellus,126
2017-08263,Teri Melluish,1996-05-14,Bachelor of Arts in Philosophy,nunc,101
2010-48423,Kris Lunnon,1994-02-02,Bachelor of Science in Sugar Technology,velit,171
2012-98306,Tracie Ferroli,1992-02-28,Bachelor of Science in Agribusiness Management,amet,194
2011-22908,Cecilla Geharke,1997-04-23,Bachelor of Science in Math and Science Teaching,a odio,117
2014-56775,Obediah Hillett,1995-01-16,Bachelor of Science in Agricultural Business,turpis eget elit,167
2012-08435,Marley Phillipp,1997-05-01,Bachelor of Science in Biology,sapien a,146
1999-89521,Kata Irvine,1993-02-22,Bachelor of Science in Computer Science,sodales scelerisque mauris,142
2014-72411,Artie Phittiplace,1991-06-30,Bachelor of Arts in Philosophy,mauris,137
2013-63016,Rodolphe Bolan,1991-02-17,Bachelor of Science in Electrical Engineering,nibh in hac,145
2001-04202,Clair Linck,1991-08-24,Bachelor of Science in Biology,ornare,12
1992-68263,Winni Gotthard,1992-03-07,Bachelor of Science in Industrial Engineering,nam congue risus,140
2001-53127,Raychel Santer,1990-11-17,Bachelor of Science in Agricultural Biotechnology,amet,142
1997-42126,Cami Paulisch,1996-01-02,Bachelor of Science in Statistics,pellentesque,98
2019-79275,Joyous Croot,1998-08-22,Bachelor of Science in Forest Products Engineering,nam nulla,51
2016-54784,Westbrooke Roberson,1993-06-28,Bachelor of Science in Development Communication,non,133
2000-11648,Merrile Skeldon,1993-08-01,Bachelor of Science in Human Ecology,ultrices posuere,127
2016-65451,Lucina MacCauley,1997-10-22,Bachelor of Arts in Sociology,dui,194
2010-83459,Scotti Galbraeth,1992-03-03,Bachelor of Science in Agriculture,elementum,168
2012-07734,Spense Ballintime,1991-07-30,Bachelor of Science in Civil Engineering,elementum in hac,148
2014-29669,Gale Joselevitz,1992-11-22,Bachelor of Science in Development Communication,rhoncus sed,193
1997-05114,Claudine Lutz,1998-02-06,Bachelor of Science in Nutrition,eu orci,115
2012-09227,Savina Paulo,2000-03-04,Bachelor of Science in Mathematics,placerat,22
2009-85756,Carline Poore,1996-11-06,Bachelor of Science in Agricultural Extension,pretium iaculis,135
1996-94322,Kelly Costard,1997-05-03,Bachelor of Science in Agribusiness Management,tempus vel pede,153
2007-63840,Lemar Silverthorne,1997-01-24,Bachelor of Agriculture,habitasse platea,43
1993-70176,Randolf Atterbury,1994-06-29,Bachelor of Science in Economics,amet consectetuer,62
2012-34254,Bronson Colgan,1996-09-25,Bachelor of Science in Home Technology,lectus pellentesque eget,10
2019-50851,Marian Kinge,1995-11-11,Bachelor of Arts in Philosophy,auctor,57
1996-05112,Nolie Dispencer,1998-10-05,Bachelor of Science in Sugar Technology,ultrices posuere cubilia,71
1998-87736,Darryl St Quenin,1994-09-08,Bachelor of Arts in Sociology,ac nibh,140
1995-05130,Parsifal Walkden,1997-09-14,Bachelor of Science in Agricultural and Biosystems Engineering,purus,141
2018-71327,Blithe Kyle,1996-01-29,Bachelor of Science in Agricultural Education,sit,104
1998-74207,Carlynne Robatham,1999-05-31,Bachelor of Agriculture,aliquam non,102
2002-09124,Burch Klugel,1992-09-25,Bachelor of Science in Agriculture,pede posuere,24
2008-99430,Jared Vittery,1990-12-22,Bachelor of Science in Agricultural Economics,justo,179
2005-65848,Magda Dewhirst,1993-08-11,Bachelor of Science in Agricultural Biotechnology,rutrum,157
1997-64478,Erena Breem,1995-02-16,Bachelor of Science in Nutrition,ipsum,64
2010-63612,Melisa Nyles,1991-11-10,Bachelor of Science in Civil Engineering,neque duis bibendum,77
2017-86376,Reeva Rabbatts,1997-06-17,Bachelor of Science in Forestry,eget semper rutrum,68
1995-73025,Legra Pitsall,1990-06-03,Bachelor of Science in Forest Products Engineering,mauris eget,149
2014-71107,Beaufort Critzen,1994-06-14,Bachelor of Agriculture,volutpat dui,168
1993-21107,Vaughn Clair,1993-10-04,Bachelor of Arts in Philosophy,at,14
2005-29995,Rowland Wayt,1997-09-18,Bachelor of Science in Agricultural Biotechnology,luctus et,77
2007-37585,Dolli Silvermann,1990-07-08,Bachelor of Science in Agribusiness Management,vel accumsan,191
1991-50492,Sadella Broadwell,1994-03-31,Bachelor of Science in Mathematics,in felis,197
2014-87653,Tonnie O'Keenan,1998-06-07,Bachelor of Science in Applied Physics,est phasellus sit,130
2000-62869,Rodd Lamberto,1991-08-18,Bachelor of Science in Agricultural Extension,lectus aliquam,184
2005-94740,Tatiana Woodyer,1996-12-15,Bachelor of Science in Food Technology,non,91
1991-77702,Coralie Rolin,1990-05-09,Bachelor of Science in Electrical Engineering,leo rhoncus sed,97
1996-81787,Zed Howen,1991-08-06,Bachelor of Science in Agricultural Business,mi integer ac,1
2019-10980,Regan Durran,1993-02-26,Bachelor of Science in Industrial Engineering,curabitur convallis duis,29
2016-58686,Babs Imlen,1993-05-22,Bachelor of Science in Forest Products Engineering,aliquam augue,145
1998-94853,Ralina Harman,1999-09-29,Bachelor of Arts in Communication Arts,duis,31
2011-38751,Petronella Staff,1998-06-28,Bachelor of Science in Agricultural Economics,maecenas ut,155
2014-95727,Sharity Hattiff,1998-03-27,Bachelor of Science in Agribusiness Management,feugiat non,105
1998-71446,Orelle Muncie,1991-11-17,Bachelor of Science in Agriculture,quam sollicitudin vitae,128
2013-08797,Taffy Mottershaw,1990-05-13,Bachelor of Science in Development Communication,nulla,83
2001-93261,Leonid Chaplin,1993-10-27,Bachelor of Science in Nutrition,dapibus at diam,197
2016-69283,Oran Merriday,1995-09-13,Bachelor of Science in Civil Engineering,elit,44
2000-76567,Trudy Southerill,1995-06-09,Bachelor of Science in Forest Products Engineering,mauris,121
2007-99101,Colver Gatrell,1994-04-25,Bachelor of Science in Chemical Engineering,odio,134
2012-99496,Paul Benardeau,1998-10-07,Bachelor of Science in Statistics,dui vel,200
2018-40166,Joanne Gumey,2000-03-04,Bachelor of Science in Forestry,cubilia,5
2017-28802,Heriberto Philipson,1995-12-12,Bachelor of Arts in Communication Arts,aliquam sit,133
2017-97348,Alyda MacKenzie,1996-01-28,Bachelor of Science in Home Technology,velit,21
2014-65774,Joela Turbayne,2000-02-02,Bachelor of Science in Development Communication,nam dui proin,182
1996-53318,Darsie Whorall,2000-04-15,Bachelor of Science in Chemical Engineering,et magnis dis,17
2000-80615,Gill Locket,1990-09-16,Bachelor of Agriculture,morbi,23
1996-85191,Rock Pentycost,1995-06-16,Bachelor of Science in Agricultural Economics,semper,78
2010-40567,Ferrell Fawley,1998-09-13,Bachelor of Arts in Sociology,vestibulum,68
2013-28629,Jeanelle Halsall,1999-01-15,Bachelor of Arts in Communication Arts,augue,95
2007-10432,Henriette By,1994-07-22,Bachelor of Science in Agribusiness Management,in,17
2012-46998,Vergil Capnor,1995-06-23,Bachelor of Science in Agricultural Business,nullam porttitor lacus,62
1999-48416,Delcine Absolom,2000-11-05,Bachelor of Science in Applied Physics,at,163
2016-90508,Agustin Mylchreest,1995-05-28,Bachelor of Agriculture,aliquam,152
2015-59024,Jodi Bussel,1996-06-01,Bachelor of Science in Food Technology,erat tortor,99
2019-95479,Margarette McGannon,1999-02-18,Bachelor of Science in Agricultural Economics,ipsum,19
2018-85677,Lizette Battman,1992-12-15,Bachelor of Agriculture,odio in hac,121
2003-43919,Charin Hawkett,1998-08-28,Bachelor of Science in Botany,rutrum ac,103
1999-98034,Effie Osant,1992-10-18,Bachelor of Science in Agricultural Biotechnology,nunc,101
2018-61756,Xenos Harvard,1999-11-19,Bachelor of Science in Forest Products Engineering,magna,138
2004-18135,Thalia Cellier,1994-07-15,Bachelor of Science in Home Technology,at diam nam,136
1998-80675,Glenn Aicheson,1996-02-29,Bachelor of Science in Human Ecology,ridiculus mus,42
1994-44717,Morty Pashba,2000-07-25,Bachelor of Science in Chemical Engineering,interdum,137
2010-81580,Loren Macy,1990-10-23,Bachelor of Science in Nutrition,facilisi cras non,113
1999-28782,Sancho Loton,1998-09-12,Bachelor of Science in Agricultural and Biosystems Engineering,commodo,59
1991-37313,Donnie Pointer,1991-06-03,Bachelor of Science in Computer Science,vivamus metus,168
2011-21227,Bryana Rainsdon,1998-07-22,Bachelor of Science in Food Technology,elit proin interdum,67
2017-85591,Deerdre Leek,1994-10-03,Bachelor of Science in Home Technology,lorem,78
1993-15203,Hershel Congram,1990-08-12,Bachelor of Science in Agribusiness Management,vel augue vestibulum,123
1999-99551,Erasmus Bottleson,1992-04-19,Bachelor of Science in Agricultural Engineering,sed tristique in,46
2019-25652,Alberta Bryant,1990-04-24,Bachelor of Science in Forest Products Engineering,dui nec nisi,180
2016-27167,Polly Songist,1998-11-21,Bachelor of Science in Agricultural Education,elementum,122
2015-93416,Shandeigh Eustace,1999-07-26,Bachelor of Science in Applied Physics,platea dictumst aliquam,11
2019-54740,Ethel Yellop,1991-10-20,Bachelor of Science in Electrical Engineering,sapien,40
1992-91098,Sabrina Pebworth,1991-07-04,Bachelor of Science in Mathematics,justo in hac,139
2018-66886,Ivan Posen,1999-10-19,Bachelor of Science in Forestry,nec,120
1990-04303,Norry Savin,2000-11-06,Bachelor of Science in Math and Science Teaching,varius integer ac,104
2001-06952,Katie Krzyzaniak,1994-09-24,Bachelor of Science in Mathematics,maecenas ut,98
2000-18350,Dolf Spoure,1998-10-14,Bachelor of Science in Forest Products Engineering,nibh in quis,51
2016-45296,Beverlie Guilleton,1997-02-12,Bachelor of Science in Agricultural Extension,orci,16
2018-79357,Erich Perett,1997-06-27,Bachelor of Science in Sugar Technology,fermentum justo,134
2017-45867,Sapphire Agirre,2000-10-15,Bachelor of Science in Home Technology,nonummy,170
2007-53401,Lambert Philippson,1998-09-28,Bachelor of Science in Sugar Technology,elementum nullam,116
2019-99778,Janka McLay,1997-12-28,Bachelor of Science in Food Technology,tortor sollicitudin mi,45
2005-89843,Kristien Scothron,1991-06-17,Bachelor of Science in Botany,placerat,99
2010-96050,Paige Royse,1998-12-18,Bachelor of Science in Mathematics,vivamus in felis,171
2009-20876,Gavra de Juares,1996-05-30,Bachelor of Science in Industrial Engineering,vestibulum proin,175
2012-85705,Tammara Oherlihy,1996-01-31,Bachelor of Science in Agricultural Education,tortor,197
1996-78034,Harmonia Lambden,1993-02-25,Bachelor of Science in Agribusiness Management,erat,93
2003-10580,Guinevere Pearne,1997-10-14,Bachelor of Science in Applied Physics,est phasellus,91
2011-56784,Koo Humphery,1995-05-18,Bachelor of Science in Botany,nulla,156
2018-07577,Sara-ann Meriguet,1991-02-10,Bachelor of Science in Home Technology,aliquet maecenas,27
2006-65539,Margareta Simeon,1997-08-08,Bachelor of Science in Agricultural Business,sed,193
2013-04993,Cyb Merwe,1992-10-24,Bachelor of Science in Math and Science Teaching,eu est congue,79
2002-89030,Maude Wignall,1999-12-13,Bachelor of Science in Food Technology,in consequat ut,158
2018-07923,Thorstein Billows,1997-05-27,Bachelor of Science in Agriculture,nulla nisl,142
2013-73040,Cassondra Stappard,1998-03-09,Bachelor of Science in Agriculture,porttitor pede,60
1993-32742,Catlin Ambrosetti,1992-03-22,Bachelor of Arts in Sociology,penatibus et magnis,150
2000-76890,Eddie Faers,1991-12-25,Bachelor of Science in Nutrition,velit,10
1995-02207,Perrine Hyams,1994-07-03,Bachelor of Science in Mathematics,sapien sapien non,70
2015-85357,Karylin Hyman,1994-09-30,Bachelor of Science in Chemical Engineering,venenatis non sodales,108
2006-70895,Fleurette Masterton,1997-12-14,Bachelor of Science in Agricultural Chemistry,elit,173
2005-29592,Regine Gibbe,2000-11-14,Bachelor of Science in Agricultural Chemistry,ut ultrices vel,168
2000-45446,Deedee Casham,1996-04-17,Bachelor of Science in Forestry,est donec odio,134
2013-72854,Ricky Fideler,1997-05-03,Bachelor of Science in Biology,vel nulla,127
2018-29194,Phedra Kisbee,1994-12-24,Bachelor of Science in Agricultural Chemistry,nec euismod scelerisque,86
2019-14650,Lucila Kydde,1993-05-23,Bachelor of Science in Zoology,convallis nunc proin,138
2018-53031,Janey Birkhead,1998-08-30,Bachelor of Science in Computer Science,amet consectetuer,99
2001-22456,Julie McNellis,1997-05-21,Bachelor of Science in Agribusiness Management,tempus vivamus in,129
1999-38502,Hurleigh Rotlauf,1998-02-05,Bachelor of Arts in Communication Arts,etiam,108
2017-41022,Beitris Heisham,1995-11-05,Bachelor of Science in Agribusiness Management,quam,166
2016-20766,Tera De Cristoforo,1995-01-04,Bachelor of Arts in Philosophy,sit,32
1997-58732,Walther Peyton,2000-07-30,Bachelor of Arts in Sociology,vestibulum ac,80
2007-11474,Tiphani Saddleton,1990-04-17,Bachelor of Science in Forestry,justo,48
2019-63195,Bobinette O'Rourke,1995-10-04,Bachelor of Science in Agribusiness Management,aliquam non mauris,76
2007-16682,Cody Tather,1991-03-25,Bachelor of Science in Mathematics,aenean fermentum donec,119
1990-01342,Vivi Hansberry,1994-07-03,Bachelor of Science in Mathematics,ipsum primis,74
2008-57969,Morlee Erie,1999-04-28,Bachelor of Science in Food Technology,amet eros,147
1993-67579,Ed Pennock,1993-10-06,Bachelor of Science in Chemistry,convallis,190
2007-72421,Jourdan Conkey,1999-08-03,Bachelor of Science in Chemical Engineering,sociis,93
2010-82348,Nehemiah Barczewski,1994-03-14,Bachelor of Science in Agricultural and Biosystems Engineering,penatibus et,87
1998-87112,Sheba Cook,1996-11-20,Bachelor of Science in Forestry,nisl duis,65
2004-17735,Cynthie Molyneux,1998-05-27,Bachelor of Science in Biology,porttitor lorem id,189
2013-01130,Shelby Danahar,1996-06-26,Bachelor of Science in Agriculture,quis turpis,10
2008-02483,Tabbie Swalowe,1999-08-01,Bachelor of Arts in Communication Arts,sociis natoque,166
2009-08047,Van Goffe,1990-05-27,Bachelor of Science in Agriculture,convallis duis,66
2017-13037,Merlina Farnan,1997-09-02,Bachelor of Science in Sugar Technology,nibh fusce lacus,14
2010-66089,Anselm McGlone,1998-09-29,Bachelor of Science in Development Communication,morbi,117
1997-03675,Grier Hugonet,1994-09-23,Bachelor of Science in Agricultural Engineering,at,185
2016-08566,Humbert Clancey,1993-12-26,Bachelor of Science in Agricultural Engineering,quisque id,13
1995-34946,Merrile Callendar,1991-11-26,Bachelor of Science in Civil Engineering,vestibulum,116
2003-81748,Farrell MacCarter,1997-06-11,Bachelor of Science in Chemical Engineering,ullamcorper purus sit,190
1997-35711,Tommy Gladwell,1995-07-22,Bachelor of Agriculture,integer aliquet massa,128
2002-52391,Mickey Desaur,1992-05-30,Bachelor of Arts in Communication Arts,venenatis,18
1994-36999,Gerry McIlwaine,2000-12-06,Bachelor of Science in Development Communication,ante vestibulum,152
2018-36708,Heddie Antat,1994-08-08,Bachelor of Science in Agricultural Biotechnology,velit vivamus,160
1998-70847,Heriberto Volante,1990-04-30,Bachelor of Science in Biology,sed sagittis nam,145
2004-36691,Orren Durnill,1991-03-05,Bachelor of Science in Industrial Engineering,sed,147
2002-28201,Guilbert Pfeiffer,1997-12-18,Bachelor of Science in Mathematics,potenti nullam,71
2018-00020,Penny Francie,1993-05-21,Bachelor of Science in Statistics,accumsan tellus nisi,107
2017-92690,Amby Baxandall,1994-06-23,Bachelor of Science in Statistics,sed ante vivamus,165
2007-81109,Clim Asher,2000-11-24,Bachelor of Science in Electrical Engineering,non velit,88
1992-02134,Spenser Ovitts,1999-12-14,Bachelor of Science in Economics,nam,144
2016-23908,Lemmie Cutajar,1999-07-11,Bachelor of Science in Agricultural Chemistry,mi,168
1995-14584,Dill Godlip,2000-03-21,Bachelor of Science in Statistics,pulvinar lobortis,117
2001-53321,Ivy Loney,1997-07-16,Bachelor of Science in Industrial Engineering,aliquam,42
2015-59797,Holly Rubie,1997-03-12,Bachelor of Science in Applied Mathematics,in felis donec,184
2016-86422,Edi Remnant,1997-09-30,Bachelor of Science in Sugar Technology,vitae,84
2016-60440,Laurens Willis,2000-04-06,Bachelor of Agriculture,platea dictumst etiam,96
2018-69546,Pippa Bouchard,1996-10-13,Bachelor of Science in Chemistry,consectetuer,46
1996-81032,Saudra Bruckner,1997-02-24,Bachelor of Science in Civil Engineering,lectus aliquam sit,101
2004-57459,Melinda Cressor,1992-09-29,Bachelor of Science in Development Communication,ut,14
1996-45366,Alfredo Duxbury,1996-03-09,Bachelor of Science in Industrial Engineering,quis turpis eget,143
